data,temperatura,umidade
13:18:06 09/04/2024, 28.00, 77.00
13:18:08 09/04/2024, 28.00, 77.00
13:18:10 09/04/2024, 28.00, 77.00
13:18:12 09/04/2024, 28.00, 77.00
13:18:14 09/04/2024, 28.00, 77.00
13:18:16 09/04/2024, 28.00, 77.00
13:18:18 09/04/2024, 28.00, 77.00
13:18:20 09/04/2024, 28.00, 77.00
13:18:22 09/04/2024, 28.00, 77.00
13:18:24 09/04/2024, 28.00, 77.00
13:18:26 09/04/2024, 28.00, 77.00
13:18:28 09/04/2024, 28.00, 77.00
